"comments","target"
pls help I have to code a robot in a month where do I even start,q
"You are getting the biggest f'ing thumbs up from me.  
It's by far the best tutorial I have ever seen.",p
"At the 1:40 mark, where you entered the statement bool isMale = true; and bool isTall = true I couldn't initially get it to work.  In order to fix it I put a semicolon at the isTall; Otherwise it would get stuck at the if function.  I don't know why you didn't run into the same issue, or if this is really a fix, but it allowed the function to work.",q
39:00,o
"Now. Because C++ is awesome it gives us another data type.. bullyin lmao


It’s a joke btw

Edit: Also this is the best tutorial ever thanks dude.",o
its pretty similiar to python ngl,o
"Hi, I could use some help from someone, it would be appreciated. At 2:20:20 building a guessing game i have the same code he has but i get an error for uninitialized local variable , heres the code I have: 

int main()
{
    int secretNum = 7;
    int yourGuess;
 
    while(secretNum != yourGuess) {
        cout << ""Enter guess from  1 - 9: "";
        cin >> yourGuess;
    }
 
    cout << ""You win!"";
 
    return 0;
}
the error comes up for line 6 (while(secretNum != yourGuess) {) it says yourGuess isn't initialized. 
However I could get this exact same code to work with a do while loop, I'm just curious why its not working with a regular while loop.",q
"At 2:21:42 when coding the guessing game, I kept getting an error that said Using uninitialized memory 'guess' and it was only resolved when I declared the variable before the main function. How did yours work when you declared the variable inside the function and mine did not?",q
21:00,o
Is Visual Studio an acceptable IDE/compiler also?,q
29:00,o
He should definitely have a Patreon,s
"Hi! Can someone help me with my C++ homework? It's below:

Write a program that uses random number generations to create sentences.
The program should use four arrays of pointers to char called article,noun verb and preposition. The program should create a sentence by selecting a word at random from which array in the following order: article, noun, verb, preposition, article and noun. As each word is picked it should be concatenated to the previous word in a character array that is big enough to hold the entire sentence. The words should be separated by spaces. When the final sentence is output , it should start with a capital letter and end with a period. The program should generate 20 such sentences. The arrays should be filled as follows: The article array should contain the articles ""the"" , ""a"" , "" one"" , ""some"" and ""any"" ; the noun array should contain the nouns ""boy"", ""girl"" , "" dog"" ,  ""town"" and ""car""; the verb array should contain the verbs ""drove"" , ""jumped"" , ""ran"", ""walked "" and ""skipped ""; the preposition array should contain the prepositions ""to"", ""from"" , ""over"", ""under"" and ""on"". After completing the program, modify it to produce a short story consisting of several of these sentences. (How about a random -term paper writer!)",q
52:30,o
"I'm still learning c++ in first semester at college, but when you talk about pointers you nearly always meant references, no? The pointer is only the variable with the *, the reference is the variable with the &.",q
Is it normal that i feel like i'm not going anywhere?,q
Lua programmers understanded more then enough!,o
Just awesome,p
31:00,o
"he sounds normal at 1.25x speed and I don't know why I find it hilarious
Btw thanks for your effort my guy!",p
37:00,o
The video is great but with that Lost reference min 1:15:40 you earned the like and sub,p
"This is cool and all, but how do you actually create user interface programs on which you can click and drag stuff?",q
31:30,o
"I'd like to know what Beginner uses Pointers. In reality, I can't even imagine a pro using Pointers, but maybe that's why I call myself a scripter and not a programmer...",q
38:00,o
"In C++, is the same const char* than string??, because i prefer to use const char*, and in C for example you can do this:
char* word = ""freeCodeCamp"";
printf(""%s\n"", word);
, but in C++ if you use cout << word << endl, it's a warning, so i dont understand why C let you do that but C++ dont.",q
"Am clapping uncontrollable.  Thanks alot, this is just wowwwwwwwwwww.",p
"I died by coding the ""building a guessing game' program",p
skipped through half of it when I found out that it's a lot like Java meets Python,o
1:20:08,o
Such an useful video ❤️ I hate programmings actually but I never felt bored for even a sec. your way of speech was so understandable. Thanks mike 🙂,p
"Thank you for saving my life! You explained things so well, and all the contents are so organized! Now I have a better overview over C++.",p
the text editor that i used was vs code,o
you're such a great and helpful teacher! thank you for explaining everything so well and saving my grade (hopefully). Keep up the good work!,p
I got errors thrown trying to put the or symbols in during the getting and setting part of the video.,q
"I've learned a lot from these tutorials. I'm in my 2nd year of programming still I can't understand about c++. Thanks for this, now I refresh all the lessons that were taught last year. 😍",p
i have a test in 3 days and i've learnt a lot more than i have from my lecturer in the last 4 weeks. love this,p
God bless all of you.,p
This is so helpful because I just started a course at College about programming and I never did programing in high school so this is so cool :D Thanks a bunch. Now I can be a step forward before the teacher :D,p
34:47,o
"thank you sir, please continue helping others by creating such precious videos,it is a very helpful video for us",p
"Thanks, Mike great course.  I really appreciate all the efforts you put into your course.",p
34:00,o
Thankyou for this course I am about to start my UG in Computer Science and Engineering and this course has probably given me a push start and alot of confidence🙏🔥🙏,p
16:24,o
"Thanks Mike for your incredible courses! Never seen a person talk so easy to understand, the best tutorial I have ever seen =)",p
"Nice tutorials and very helpful.

Thanks mike, 
Keep it up.....",p
52:00,o
"Wow, such a great teacher. It would be great if you could make an intermediate level also.",p
49:27,o
"I really like this tutorial, I always had trouble learning to program, I hope to finally learn.",p
"Great explained!

Many thanks!",p
Doesn't getline() need #include <string>.......?,q
I can only leave 1x like but I would like to encourage others to do the same! This is a very good beginner-level tutorial. Thank you for making it.,p
36:00,o
I really appreciate you sharing this video. This is very informative. I haven't been able to learn this from school but now can definitely watch this and play the codes to build a program.,p
"Went through the whole video, actually typed out all the code. Learned more in one video than in my CS college C/C++ classes! A few things Mike said he would explain later, and didn't, guess he forgot, but they were small inconsequential things, easy to google. Amazing work!",p
23:30,o
this is amazing and i have only been watching 30 minutes so far. Keep up the good work.,p
27:00,o
"In the very beginning 6:10 I believe it's different for PC/Windows users. These commands don't work in the ""Terminal"" or Command Prompt. Any way around this or alternate command? Thank you :)",p
"Thanks for sharing this video. I did not even  know  that how to write a program ""Hello world"", but now I am able to do more then that. I am glad that I found this video on you tube. I have learnt so many things from it. Thanks Mike:)",p
"I know this course was some time ago now, but I am just getting started, however I have been slowly getting used to the Visual Studio Interface after much deliberation between it and other editors.  Now I am looking to actually dive into coding but not knowing anything at all, I'm already over my head and am unable to simply follow along here given most of the first half of the video is on a totally different interface.  I would think the code would be the same, but typing this ""Hello world"" code directly into visual studio came up with errors.  Im lost and am unsure how to even start to resolve basic issues. lol",q
It's been only half a year since I started learning Java(in school) and that probably helped me a lot in getting all the basics,o
22:00,o
Great video. Thanks for all your work on it. I really appreciate the time and the way you explains thing!,p
You are the best teacher I've ever seen. Please make an advance course for c++. Thanks so much sensei.,p
32:30,o
Thank you for this amazing tutorial,p
1:13:00,o
You are so good teacher thank you this video was so useful i had problem with learning c++,p
He’s a very good teacher. I already feel hopeless watching other YouTube tutorials and he is the only one who can explain it so well <3,s
1:12:15,o
Thanks you so much for the tutorial. You explain very well :),p
Why would you ever need to use pointers? Seems like you get a physical location of data but don't do anything with it?? What's so special about a pointer data type? It looks like you can't even mix data types. I get what it's doing--it's literally getting the physical location. But why??,q
"This is honestly a fantastic tutorial even for anyone learning programming for the first time. I was watching it to learn C++ specifically, but I'd say even if you had absolutely 0 programming knowledge, this is a great video to start on!",p
"Fabulous!
The best c++ tutorial I have received among dozens of videos.
God bless you!",p
i dont know why but everytime i type #include <iostream> it says that there is no such thing detected,q
"This guy did justice to C++ 🙌
Specially for beginners its amazing..!!!",p
"a  friend asked for advice on some diploma on a web service. -Man , i dont remember if this dude is called Mike ,  is in youtube. seach it as code camp.",o
"Very good tutorial on C++, Thanks Mike!!",p
"great tutorial.
I hope i will pass my course",p
23:00,o
This is one of the best tutorial I've ever watch.,p
24:30,o
So far the most clear concept making video I have seen...... Thanks,p
"Thanks mate you help me learn c++,I am so grateful for all your hard work because at my school we don't have competent teachers for the computer science class.",p
what should i need to learn after completing this 4 hours video???     pls reply guys,q
"I'm going to start school and I'm panicing already. After I started to watch this video, I'm more sure, that I can learn programming, so thank you! Great video and so far I have understood everything, even english is not my native language.",p
1:05:59,o
"Excellent video! Thanks a lot :)
Just one thing: there is a typo at line 21: his name is Tolkien, pronounced tol-keen ;)",s
I watched whole of this movie. It is very useful and easy to understand for me. Thank  you!!,p
"#include<iostream>
using namespace std;
int main(){
    int secretNum=69;
    int guess;
    do{
        cout<<""Enter you're guessing number: "";
        cin>>guess;
    }while(secretNum!=guess);
    cout<<""Congratulation!!you're guess is right!!"";
    return 0;
} please correct me if I'm wrong. answer for 2:22:33",q
"For Mobile Users
⌨️ (0:00:00) Introduction
⌨️ (0:01:38) Windows Installation
⌨️ (0:04:54) Mac Installation
⌨️ (0:08:44) Setup & Hello World
⌨️ (0:12:29) Drawing a Shape
⌨️ (0:19:55) Variables
⌨️ (0:31:43) Data Types
⌨️ (0:39:15) Working With Strings
⌨️ (0:49:00) Working With Numbers
⌨️ (0:59:41) Getting User Input
⌨️ (1:05:32) Building a Calculator
⌨️ (1:09:28) Building a Mad Libs
⌨️ (1:13:45) Arrays
⌨️ (1:20:03) Functions
⌨️ (1:29:47) Return Statement
⌨️ (1:35:22) If Statements
⌨️ (1:47:15) If Statements (con't)
⌨️ (1:55:58) Building a Better Calculator
⌨️ (2:02:20) Switch Statements
⌨️ (2:10:47) While Loops
⌨️ (2:18:53) Building a Guessing Game
⌨️ (2:29:18) For Loops
⌨️ (2:38:32) Exponent Function
⌨️ (2:45:21) 2d Arrays & Nested Loops
⌨️ (2:54:55) Comments
⌨️ (2:59:11) Pointers
⌨️ (3:13:26) Classes & Objects
⌨️ (3:25:40) Constructor Functions
⌨️ (3:34:41) Object Functions
⌨️ (3:41:43) Getters & Setters
⌨️ (3:54:04) Inheritance
You're Welcome!",o
22:30,o
This video is pretty awesome I thoroughly enjoyed watching it...thnx u dear Mike...I Learned a lot from it 😊😁,p
"⭐️ Contents ⭐
⌨️ (0:00:00) Introduction
⌨️ (0:01:38) Windows Installation
⌨️ (0:04:54) Mac Installation
⌨️ (0:08:44) Setup & Hello World
⌨️ (0:12:29) Drawing a Shape
⌨️ (0:19:55) Variables
⌨️ (0:31:43) Data Types
⌨️ (0:39:15) Working With Strings
⌨️ (0:49:00) Working With Numbers
⌨️ (0:59:41) Getting User Input
⌨️ (1:05:32) Building a Calculator
⌨️ (1:09:28) Building a Mad Libs
⌨️ (1:13:45) Arrays
⌨️ (1:20:03) Functions
⌨️ (1:29:47) Return Statement
⌨️ (1:35:22) If Statements
⌨️ (1:47:15) If Statements (con't)
⌨️ (1:55:58) Building a Better Calculator
⌨️ (2:02:20) Switch Statements
⌨️ (2:10:47) While Loops
⌨️ (2:18:53) Building a Guessing Game
⌨️ (2:29:18) For Loops
⌨️ (2:38:32) Exponent Function
⌨️ (2:45:21) 2d Arrays & Nested Loops
⌨️ (2:54:55) Comments
⌨️ (2:59:11) Pointers
⌨️ (3:13:26) Classes & Objects
⌨️ (3:25:40) Constructor Functions
⌨️ (3:34:41) Object Functions
⌨️ (3:41:43) Getters & Setters
⌨️ (3:54:04) Inheritance
THANKS PROF @Mike Dane",o
32:00,o
this tutorial is really awesome...It helped me a lot....n has been made in a really very nice mannner....Thank u sir...,p
24:00,o
"C++ is very interesting language though many developers scared of it and some say it is very difficult to learn compared to PHP and few other, C++ developer are richer than PHP developer.",s
"Excellent! Very useful, thanks!",p
1:39:00,o
Wow ive learn a lot.. i dont have  any kind of experience in c++ but man you did a great tutorial. Easy to learn and fast pace. You also break it down into baby steps! Well done! Subscribed and like!,p
does this apply to Unix with a g++ compiler? thats what my uni will be using,q
"i love cpp because its simple and good for project that i want to build, this tutorial helps me a lot",p
Thank you. It was very well explained and helpful. 😌😌,p
8:44,o
I ABSOLUTELY LOVED IT THANK YOU VERY MUCH,p
if u know java the first 3 hour is basically java,s
"Huge thanks to the people who made this video. I have zero experience in programming, and, moreover, English isn’t my first language, but I enjoyed every second of this video.",p
"great tutorial. 
can anyone suggest a tutorial for next-level?",q
1:03:00,o
Congrats ... this is a wonderful presentation!!! I wonder if you have advanced courses in C++ ...,q
1:29:45,o
Great tutorial. Easy to understand.,p
"Wonderful course, congratulations.",p
3:48:00 imp..,s
"Really, I love your explanations. 'Basically just don't worry about what this code means'. Very informative.",p
"who else is learning c++ to make beat saber mods for oculus quest

...yeah i think that's just me",q
"Loved the course! 💯💯
You are awesome!",p
"Tomorrow is my examination..this video helps me a lot^_^
I got my whole semester in just one video...",p
if I could triple like I would 🙏,p
"what I don't learn in one year you teach me in 4 hours, thank you",o
1:07:00,o
"Watched the whole video and did all the examples. If someone wants to get the basics explained in a simple way then go ahead and watch it. (Do the code yourself. Pause the video before he starts coding and try to do it yourself)


Thanks!",s
"Each part is a different lesson 


(0:00:00) Introduction
 (0:01:38) Windows Installation
 (0:04:54) Mac Installation
 (0:08:44) Setup & Hello World
 (0:12:29) Drawing a Shape
 (0:19:55) Variables
 (0:31:43) Data Types
 (0:39:15) Working With Strings
 (0:49:00) Working With Numbers
 (0:59:41) Getting User Input
 (1:05:32) Building a Calculator
 (1:09:28) Building a Mad Libs
 (1:13:45) Arrays
 (1:20:03) Functions
 (1:29:47) Return Statement
 (1:35:22) If Statements
 (1:47:15) If Statements (con't)
 (1:55:58) Building a Better Calculator
 (2:02:20) Switch Statements
 (2:10:47) While Loops
 (2:18:53) Building a Guessing Game
 (2:29:18) For Loops
 (2:38:32) Exponent Function
 (2:45:21) 2d Arrays & Nested Loops
 (2:54:55) Comments
 (2:59:11) Pointers
 (3:13:26) Classes & Objects
 (3:25:40) Constructor Functions
 (3:34:41) Object Functions
 (3:41:43) Getters & Setters
 (3:54:04) Inheritance


no need to thank me",o
but there is none for win 11 bro,s
"I am still in the first hour of the tutorial and I finally understood how things should actually work. lol


Will finish this week I hope and will be practicing lots. Thank you for the easy explanations! :)",p
who else is here a day before their midterm,q
"Thank you very much for the course, however I’ve gotta fix you, a constant is a variable that cannot be changed after the initialization, what you showed with the cout example is an hardcoded value.",s
"Fantastic video tutorial. You have the best way of presenting material of all the guys that are out there. Showing yourself helps the viewer follow on a different level because humans normally reads into what's going on by looking at the person they are talking to. Great stuff zooming in and out like that. Perfect when watching in the phone. Also good to not jump from one view to the other. Superb sound quality. You should hear the room size and not a close radio voice. You kept your information on a constant level and explained stuff in a perfect way without getting ahead of yourself like many other tutorials tend to do: like ""that was simple so let's do something that's not"". Congratulations and many thanks for the video and for keeping it add free. Hope there's more to come.",s
48:41,o
Thank you for this course!!,p
11:14,o
How do you configure the editor in order to get the option of atributes instantly after typing the dot?,q
"Good video you can teach very well I learned a lot.
Mike Dane you are amaizing",p
13:00,o
Thankyou so much its like my whole sem of studying with my boring professor about c++ I can learn it with you far better in just 4hrs.. Great video luv you,p
wow,p
2:50:00 Should't the numbers in the brackets where the int NumberGrid was first defined be [2][1]? They both start counting from 0.,q
"Thank you man, great job; watched it fully.",p
I want russian subtitle.,s
You sure are a gifted teacher. I did all 4 hours of your video in 2 days but took me about 6 hours because I did all you that you did. I catch a lot of mistakes that I made and thought me so much. Your video is excellent from the almost 2 million watchers...Thank  you so much.,p
43:20,o
Hi Mike. Thanks for the vid. Really appreciate it. However mac is is blocked it says developer needs to update it to work with this version of Mac. Any ideas on how to get around this?,q
"Good tutorial, thanks. In the future if you don't zoom in on the code that would be helpful. Would rather see the entirety of it, not small parts.",s
48:59,o
"Very useful, thank you very much.",p
52:00,o
"This course seems to be a great place to start. I see these 40 hour udemy courses on sale, and I would like to know what extra does that really give me over this 4 hour course and are those really worth it?",q
1:50:36  could just use fmax for two values.,s
would any tutoring be available is i join??,q
"Thanks a lot, its awesome learning C++ with you",p
im only doing this for gorilla tag mods the grind is real,o
thanks for the great tutorial! appreciated!,p
"Decided to bother learning C++ to play around with Unreal Engine 4, its a fun little hobby, but blueprints are annoying and limiting. Gonna hook in here and see how I go! :)",s
very good performance incredible great ovv yeahhh,p
"Thank you so much man!
You taught me more than what my teacher taught me in a year.",p
I like the Lost reference,o
"Imagine programing like a novel script, actors need to know what to say and what to do at a specific time, you create the script, you control the actors and they do what you told them to do, in order step by step :)
That's why it's called a programing script, it's related, and novel is just another type of program :)",s
The pacing of this video is so good.,p
1:00:27,o
"I watched your video about 50 minutes, and already learned more stuff than college.",p
52:53,o
"bro you are the man. Out of college with nothing and here you are, saving the day!",o
"2:20:00 When making the guessing game, using only 'while loop' doesn't work for me. I can make it work only with DO-WHILE LOOP.  Error says, 'uninitialized local variable 'guess' used'. Am I missing something?",q
why to create pointer variable if u can get the address by using &,q
Easier to understand than a university course.,s
47:00,o
"O My Goddd, that's no tutorial, that's a full course, my dude. Thanks a lottt!! You are the best, I swear.",p
"With the || (or) operator, if you set both variables to true, you get the first block code (TESTED!)


e.g.

int main() {
     bool isMale = true;
     bool isTall = true;
 
     if(isMale || isTall) {
          cout << ""You are a male, or you're tall"" << endl;
     }
     else {
          cout << ""You are not tall, and you're not male"" << endl;
     }
}

OUTPUT:
You are a male, or you're tall",s
I can't get the private thing whether I put in public place it still works,o
"Patience level infinity!


New programmers !",o
9:21,o
"you are a good teacher, what other classes do you teach?",q
Thanks for making this awesome video!!,p
49:00,o
Awesome refresher thanks!!!,p
I'm grateful that we have people like you in this world!,p
Pretty good job so far!,p
48:32,o
This dude made a course on C++ and have never seen him. I've been searching for a good teacher for days. I already learned python from him.,p
48:38,o
"thanks a lot for sharing all this, very good video 👌👌👌",p
"getting ready for the fall semester :D, thank you freecodecamp, thank you Mike Dane.",p
"this is really important but ma problem's that compiler's complin' ma code ,but it ain't showin' me results that i need! So i don't know what to do now, so that ma software maybe able to run the whole code without showin' nothing!",q
"All these online courses (free and paid) claim to be designed for true beginners. Rather, they end up being confusing and assume that you already know certain information. This is the first video where I actually learned something. You know how to teach C++! Thank you so much.",s
39:15,o
"Thanks Mike for this video, you're so cool",p
"Holy crap, the explanation of the objects was extremely elegant.  Suddenly OOP makes a crap-ton of sense to me.",p
"58:47 When i wrote high digit numbers, it gives me weird number. For instance , when i wrote 2141331 and 214812, it prints out 2.14133e+06 but when i delete one digit from 2141331, it works normally.",s
49:00,o
"Hello everyone! First, get to know me more.
I'm an 11-year old who was interested in learning C++.
I'm VERY experienced on computers and already learned LUA coding,
Till now I already understood every single detail from 0:00 to 1:15:54, {Still learning, Although I'm not always free..}
My next goal is to learn java.
Wish me best luck, I will update this comment when I get the chance to.
Have a nice day!
 
(this might not seem important, but till now I've never met someone in my class that even touched a laptop 😂😂😂)",o
35:20,o
Thank you!I leardned from you and Codeacademy and I haven't started Highscool and still could understand and code.,p
"Hi Mike, thanks so much for your contribution to the world, highly appreciated. I used more than a week to complete your video. Question :-

At 2:53:35 (Nested Loops), the output will be as :-
12
34
56

but if I want to have two spaces, how am I going to code ?
1  2
3  4
5  6",q
53:40,o
teaching style is perfect ..plz do ccna as like this,s
39:12,o
"This is  cool, thanks for this <3",p
"0 is the first index.

If you are used to using 1 as the first index, do phrase[1 - 1];",s
"On 51:46 what's is this for (PEMDAS) Please Excuse My Dear Aunt Sally, I don't understand? Please sir guide me.( Subscribers not allowed 🚫 to reply).",q
Great 👍🏾 C++ tutorial. Thanks,p
20:00,o
After two years of coding in Python! This is so alien to me!,o
Where was this when I needed it? I took a computer science class in high school and barely passed it. Teacher was awful. I learned more from this video then I did in that class!,q
Italian cuisine is truly in a different class,o
I'm taking IT in college. This is good for me while I'm on vacation to learn advance,o
"Ok, so after all of this. What's next????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????",q
Thanks for this video!! It really helped a lot!,p
You're a good teacher.,p
31:43,o
"what you did at 44:15 where you replaced the text in the constant wont work for me for some reason, there is a build error on the equals sign that says ""no operator matches these operands,            operand types are: std::basic_ostream<char, std::char_traits<char>> = const char [3]""",s
30:00,o
"Thank you Mike Dane
...
Good job.
Im a gamer and i was curious about this from kid.",p
Are there any instructions for how to get the compiler and stuff on Windows systems? The commands for Mac don't work on Windows.,q
Dude I just download the microsoft visual studio.,o
"You can also store numbers in char! But pretty small.


-127 to 127 range.",s
Why does C++ use this weird stream  cout<<  <<end1 syntax?  It seems every other programming language uses  print()  syntax,q
"But if number 1 is equal to number 2 and  number 3, the program will never go through the latter 2 if statements so why make them with equal as well and not just with the "">"" sign, since the case in which they are all equal is already covered in the first statement",q
"Floats and doubles
Add f to the end of the decimal number to make it a float
Remove f to the end of the decimal number to make it a double",s
tell me when a beginner is gonna need a fucking dubble to be precise enough xD.,o
"I have a question about pointers. What's the point of doing ""*&gpa"" on your example to get the actual value of the variable, where you can just put cout << gpa; to print the value?",q
31:45,o
this video is priceless thanks a lot !,p
You teach much much better than my computer science teacher 👍👍👍👍,p
45:26,o
I have a question. I completes the course and now am trying to write programs. Is there any website which can check them without having to download the  software?,q
im here kasi wala ako ma-gets sa programming ; ),o
"Hi, what is the meaning of this:
cout.setf(ios::fixed); and cout.precision(3); ??",q
"completed the whole video 
this is really beginner friendly. Enjoyed it 

Thanks Mike and freecodecamp",p
"Cout << ""thank you"";",p
"For linux users :


to install codeblocks there's a package if you haven't noticed (and you will need to install some other things alongside)


> sudo apt-get install codeblocks
> sudo apt install xterm (library)
> sudo apt install g++ (library)
> codeblocks",s
4:54 mac,s
"2:44:00 The code he did is valid but a faster way (for you to type is)




int exponent(int base, int power) {
     int answer = 1;
     for(i = 0; i < power; i++) {
 answer *= base;
     }
 
     return answer;
}",s
does this course cover the high school level of C++ or the college level ??,q
"comment section is more interesting than c++
 jokes apart kudos to giraffe acadmy",s
A great tutorial you are the best,p
the codeblox wont install the compiler,s
quick question.  Do you use VS Code for the tutorial?,q
"thank you very much i learned a semseter class in 4 hours,",p
Data Type.,o
"Trust me, basics are way easier if you have coded with C#",s
21:07,o
An IDE like eclipse is by far more copfortable than using a simple text editor.,s
can someone explain how to setup code block 17.12? it's totally different from this video.,q
34:26,o
"Probably a noob question, but during Object Functions, why do we need to create a different name in the class that mean the same thing? Like name = aName. Why doesn't just name alone work?",q
"bro i got an ad saying oh no dont keep watching do to my website then i looked at the comments and was like:

NO",o
"*from description. copy pasted because i use mobile

⭐️ Contents ⭐ 
⌨️ (0:00:00) Introduction 
⌨️ (0:01:38) Windows Installation 
⌨️ (0:04:54) Mac Installation 
⌨️ (0:08:44) Setup & Hello World 
⌨️ (0:12:29) Drawing a Shape 
⌨️ (0:19:55) Variables 
⌨️ (0:31:43) Data Types 
⌨️ (0:39:15) Working With Strings 
⌨️ (0:49:00) Working With Numbers 
⌨️ (0:59:41) Getting User Input 
⌨️ (1:05:32) Building a Calculator 
⌨️ (1:09:28) Building a Mad Libs 
⌨️ (1:13:45) Arrays 
⌨️ (1:20:03) Functions 
⌨️ (1:29:47) Return Statement 
⌨️ (1:35:22) If Statements 
⌨️ (1:47:15) If Statements (con't) 
⌨️ (1:55:58) Building a Better Calculator 
⌨️ (2:02:20) Switch Statements 
⌨️ (2:10:47) While Loops 
⌨️ (2:18:53) Building a Guessing Game 
⌨️ (2:29:18) For Loops 
⌨️ (2:38:32) Exponent Function 
⌨️ (2:45:21) 2d Arrays & Nested Loops 
⌨️ (2:54:55) Comments 
⌨️ (2:59:11) Pointers 
⌨️ (3:13:26) Classes & Objects 
⌨️ (3:25:40) Constructor Functions 
⌨️ (3:34:41) Object Functions 
⌨️ (3:41:43) Getters & Setters 
⌨️ (3:54:04) Inheritance",o
is it not much easier to use an if statement instead of a bool?,q
you're a king,p
"I did a course in python by Mosh Hamedani and if we try to translate his python guessing game concept to c++, the program will be shorter",s
Can anyone guide me what next after learning and watching this whole video which I have..??,q
Question.. what is string char and int for? Like how will you know if and when will you put it,q
"2:02:16 Building a Better Calculator

if...else {cout << ""Invalid operator""}
to
if...else {result = ""Invalid operator""}

Still a good one!",s
why does the code read an error when i type the triangle like this /\? do i have to make it look like /|??,q
great job Mike!,p
So that's kind of cool,p
"Man.. this program really sacrifices accessibility and ease of use for a broader and more of a range of things to be able to do.
Like having to use ""Bool"" to be able to set things to true or false, but then having to use int for non decimal and double for decimal.
I've used programs that just do this for you.
Like you could set Numcount1 = 5 but then change that to Numcount1 = true and it would just change the variable in the code because it recognizes that you want to change it.
The only time it would be relevant is if you wanted to have Numcount1 be all of the above at the same time but then that would make it confusing to fix if something goes wrong so I don't see the point.",s
"Although I'm a rather advanced programmer (about to graduate with a CS degree) and I have a lot of experience with C, I haven't touch C++ really at all. Currently I'm sorta reverse engineering some C++ files for a network simulator and wanted to get a better understanding for the syntax. Although I've only skimmed through the first hour, and much of the info he's given in that portion is pretty much second nature to me at this point, I have to say he explains the material exceptionally well. So props to this guy and I hope his lessons help get more people into programming.",s
31:00,o
"Thanks so much for this video!! I threw it on @2x speed and wow, the amount of data you compacted into this vid is insanelyyy available",p
i have my exam tomorrow lol,o
"2:28:30 He took 26 lines of code, i did it in 14 lines.
But wait, he has taught me to code, so he wins. Kudos To The Instructor.",p
I would've put the index starting from 1 though. 2:06:04,s
18:30,o
YEAY i finish this video in 3 days on my busy schedule! :)),o
59:40,o
"what is difference between void and return 
i used void function in return statement program  and i got same results 
i didnt get the actual difference between void and return",q
I love it!,p
"THAT""Sgreat 😭😭😭😭",p
"2:13:44 Trust me, the for() loop is way faster than the while loop. It has been tested!




for(int index = 1; index <= 5; index++) {
     cout << index << endl;
}
OUTPUT:
1
2
3
4
5",s
10:20,o
"Hey Mike, please suggest me best typing tutorial for free.Where I can make my typing speed good.",q
This course is 90% C and only 10% C++. Course doesn't ever scratch C++ surface.,s
"guys  ""dev c ++  "" is it the same as ""c ++ "" please i need answer",q
This is better than 2 years of cs at my college,s
How did you know I'm 35 years old? Like!!,q
Anyone noticed the numbers he have used on 1:16:00 are actually the lucky numbers on famous TV show LOST?,q
i forgot to give guess count a initial value and spent 10 minutes trying to fix my while loop when it was perfectly fine lol,o
Let's see if i can do this without a computer,o
"please help me with this work
there are three seating categories at an athletic stadium.For Baseball game,Class A seats cost $15.00 each, Class B seats cost $12.00 each and Class C seats cost $9.00. Create a C++ program that allows the user to enter the number of ticket sold for each class. the program should display income and revenue generated. if the user does not enter a numeric value the program should not display the calculations.",q
2021/10/15 Finished,o
how do i get a random int between two numbers?,q
Oh so its your hole semester in 4 hours? But can you actually use anything and know it by heart with only seeing it once. You have to write code for yourself to truly understand it. Thats why it takes so long and working out your mistakes and correcting them is a huge part.,s
"i am finally done with the video  i wilkl finally start getting ready for the day of reckoning cout<<""day of reckoning will come soon""<<endl;",p
"Can I make an Unreal Engine 4 Game after learning all of this? Answers would be appreciated, I'm trying to make a game and want to know if this teaches me the coding for it. Thank you.",q
How many monitors do you have my bro? Feels like you have 10 around a room,q
"So, when I'm making these programs, I've found that the memory addresses have always lined up with yours (I did the C tutorial as well), up until the name variable. Is there a reason that I'm able to match all addresses up until name, which gives me a pointer to address 0x6efec8 instead of your 0x6afedc? I guess basically what I'm asking is what determines a memory address, and what makes a string's address be inconsistent?",q
"⭐️ Contents ⭐
⌨️ (0:00:00) Introduction
⌨️ (0:01:38) Windows Installation
⌨️ (0:04:54) Mac Installation
⌨️ (0:08:44) Setup & Hello World
⌨️ (0:12:29) Drawing a Shape
⌨️ (0:19:55) Variables
⌨️ (0:31:43) Data Types
⌨️ (0:39:15) Working With Strings
⌨️ (0:49:00) Working With Numbers
⌨️ (0:59:41) Getting User Input
⌨️ (1:05:32) Building a Calculator
⌨️ (1:09:28) Building a Mad Libs
⌨️ (1:13:45) Arrays
⌨️ (1:20:03) Functions
⌨️ (1:29:47) Return Statement
⌨️ (1:35:22) If Statements
⌨️ (1:47:15) If Statements (con't)
⌨️ (1:55:58) Building a Better Calculator
⌨️ (2:02:20) Switch Statements
⌨️ (2:10:47) While Loops
⌨️ (2:18:53) Building a Guessing Game
⌨️ (2:29:18) For Loops
⌨️ (2:38:32) Exponent Function
⌨️ (2:45:21) 2d Arrays & Nested Loops
⌨️ (2:54:55) Comments
⌨️ (2:59:11) Pointers
⌨️ (3:13:26) Classes & Objects
⌨️ (3:25:40) Constructor Functions
⌨️ (3:34:41) Object Functions
⌨️ (3:41:43) Getters & Setters
⌨️ (3:54:04) Inheritance",o
Love you!,p
"stunning , thank you so much for very helpful video for all levels.",p
thank,p
Very helpful tutorial and it was easy to understand.Thank you very much,p
Your course is extremely helpful and thought through. Good Job!,p
"#include <iostream>

using namespace std;

int Main()
{

bool isMale = true;
bool isTall = false;

if ( isMale && isTall)
{
    cout << ""You are a tall male."" << endl;
}
else
{
cout << "" You are not male"" << endl;
}
return 0;
}",s
A very informative tutorial thanks!!!,p
